"Date","Price","Open","High","Low","Change %"
"Feb 27, 2018","5,568.50","5,556.50","5,591.21","5,556.50","-0.10%"
"Feb 26, 2018","5,574.00","5,580.00","5,580.00","5,574.00","-0.09%"
"Feb 23, 2018","5,579.00","5,597.28","5,597.63","5,579.00","-0.07%"
"Feb 22, 2018","5,583.00","5,588.69","5,598.18","5,571.00","0.11%"
"Feb 21, 2018","5,577.00","5,590.12","5,595.15","5,573.00","0.01%"
"Feb 20, 2018","5,576.50","5,577.89","5,583.47","5,525.15","-0.01%"
"Feb 19, 2018","5,577.20","5,538.51","5,578.92","5,538.51","-0.04%"
"Feb 16, 2018","5,579.37","5,579.42","5,579.72","5,558.25","0.18%"
"Feb 15, 2018","5,569.50","5,578.45","5,585.15","5,542.23","-0.06%"
"Feb 14, 2018","5,572.87","5,575.50","5,575.50","5,537.17","0.08%"
"Feb 13, 2018","5,568.50","5,583.26","5,587.88","5,560.59","-0.05%"
"Feb 12, 2018","5,571.09","5,587.94","5,587.94","5,540.91","-0.28%"
"Feb 09, 2018","5,586.50","5,598.50","5,604.19","5,580.48","-0.10%"
"Feb 08, 2018","5,591.82","5,591.40","5,592.41","5,563.13","0.04%"
"Feb 07, 2018","5,589.50","5,590.50","5,596.21","5,585.50","0.02%"
"Feb 06, 2018","5,588.50","5,593.95","5,600.04","5,586.79","-0.01%"
"Feb 05, 2018","5,589.00","5,618.35","5,618.35","5,571.98","-0.29%"
"Feb 02, 2018","5,605.50","5,599.50","5,620.35","5,593.50","0.11%"
"Feb 01, 2018","5,599.22","5,609.95","5,618.99","5,578.51","-0.15%"
"Jan 31, 2018","5,607.50","5,625.32","5,625.32","5,557.50","-0.20%"
"Jan 30, 2018","5,619.00","5,631.26","5,633.00","5,619.00","-0.04%"
"Jan 29, 2018","5,621.50","5,624.61","5,627.54","5,618.50","0.00%"
"Jan 26, 2018","5,621.50","5,613.50","5,628.99","5,565.42","0.20%"
"Jan 25, 2018","5,610.00","5,609.51","5,615.34","5,597.71","0.20%"
"Jan 24, 2018","5,599.00","5,614.81","5,614.81","5,569.00","-0.06%"
"Jan 23, 2018","5,602.50","5,620.28","5,623.50","5,602.50","-0.26%"
"Jan 22, 2018","5,617.00","5,631.60","5,631.60","5,614.00","-0.11%"
"Jan 19, 2018","5,623.00","5,631.95","5,634.09","5,599.00","-0.08%"
"Jan 18, 2018","5,627.53","5,629.70","5,635.98","5,594.59","-0.02%"
"Jan 17, 2018","5,628.50","5,610.92","5,643.40","5,599.50","0.39%"
"Jan 16, 2018","5,606.50","5,621.50","5,625.67","5,606.50","-0.12%"
"Jan 15, 2018","5,613.42","5,615.78","5,615.78","5,603.48","-0.05%"
"Jan 12, 2018","5,616.00","5,633.81","5,633.81","5,616.00","-0.39%"
"Jan 11, 2018","5,638.00","5,642.00","5,646.02","5,582.33","0.21%"
