"Date","Price","Open","High","Low","Change %"
"Jul 18, 2018","27.6250","27.5080","27.7550","27.4350","0.35%"
"Jul 17, 2018","27.5300","27.3110","27.5400","27.2800","0.69%"
"Jul 16, 2018","27.3400","27.2500","27.3800","27.1600","0.31%"
"Jul 13, 2018","27.2550","27.2360","27.3880","27.0280","0.20%"
"Jul 12, 2018","27.2015","27.3515","27.4715","27.0085","-0.77%"
"Jul 11, 2018","27.4135","27.3805","27.6655","27.1855","-0.07%"
"Jul 10, 2018","27.4330","27.9790","28.0130","27.1880","-1.75%"
"Jul 09, 2018","27.9210","27.9870","27.9870","27.9120","0.00%"
"Jul 06, 2018","27.9210","28.0700","28.2420","27.8820","-0.52%"
"Jul 05, 2018","28.0680","28.0690","28.3000","27.9300","-0.01%"
"Jul 04, 2018","28.0700","27.9000","28.0700","27.8300","0.41%"
"Jul 03, 2018","27.9545","28.2885","28.4515","27.7515","-1.16%"
"Jul 02, 2018","28.2820","28.9260","28.9750","28.2450","-2.26%"
"Jun 29, 2018","28.9365","28.0812","29.4055","28.0055","3.12%"
"Jun 28, 2018","28.0600","27.4930","28.1650","27.3400","2.26%"
"Jun 27, 2018","27.4400","27.0540","27.5100","27.0100","1.33%"
"Jun 26, 2018","27.0800","27.0300","27.1800","26.9900","-0.04%"
"Jun 25, 2018","27.0900","26.9900","27.1100","26.8800","0.26%"
"Jun 22, 2018","27.0190","27.4930","27.5260","26.9260","-1.73%"
"Jun 21, 2018","27.4935","27.7505","27.7505","27.3265","-0.85%"
"Jun 20, 2018","27.7280","27.7290","27.7290","27.7250","-0.10%"
"Jun 19, 2018","27.7545","27.4305","27.9005","27.4305","0.52%"
"Jun 18, 2018","27.6115","27.5385","28.1385","27.2885","-1.58%"
"Jun 15, 2018","28.0550","27.0050","28.3550","26.5550","1.26%"
"Jun 14, 2018","27.7050","26.0050","27.9050","26.0050","5.74%"
"Jun 13, 2018","26.2000","25.9210","26.5500","25.5000","1.77%"
"Jun 12, 2018","25.7435","26.0325","26.0325","25.6725","-1.24%"
"Jun 11, 2018","26.0655","25.3455","26.0655","25.3455","3.05%"
"Jun 08, 2018","25.2950","24.9600","25.6050","24.8050","1.24%"
"Jun 07, 2018","24.9850","24.8760","24.9920","24.8760","0.34%"
"Jun 06, 2018","24.9005","24.9245","24.9695","24.8545","-0.10%"
"Jun 05, 2018","24.9250","24.9440","24.9810","24.8050","-0.13%"
"Jun 04, 2018","24.9575","24.9665","24.9885","24.9175","-0.04%"
"Jun 01, 2018","24.9680","24.9610","24.9960","24.9180","0.03%"
"May 31, 2018","24.9610","24.9180","25.0000","24.9180","0.14%"
"May 30, 2018","24.9250","24.9150","24.9300","24.7050","0.26%"
"May 29, 2018","24.8600","24.7190","24.9740","24.6040","0.46%"
"May 28, 2018","24.7450","24.6000","24.7650","24.6000","0.59%"
"May 25, 2018","24.6000","24.5750","24.6200","24.5750","0.09%"
"May 24, 2018","24.5785","24.4745","24.6435","24.3735","0.43%"
"May 23, 2018","24.4735","24.2765","24.5275","24.2765","0.81%"
"May 22, 2018","24.2770","24.3230","24.4030","24.2230","-0.38%"
